Category,Reference Group,Focal Group,Num_Prompts,Mean_Abs_Z_Base,Var_Z_Base,Mean_Abs_Z_Debiased,Var_Z_Debiased
economically_disadvantaged,Economically disadvantaged,Not economically disadvantaged,5,2.434,1.989,3.1,3.487
ell_status,No,Yes,5,2.559,11.376,2.151,7.806
gender,F,M,1,1.722,,2.657,
gender,M,F,4,1.682,2.115,3.406,2.187
race_ethnicity,Black/African American,American Indian/Alaskan Native,1,0.294,,0.647,
race_ethnicity,Black/African American,Asian/Pacific Islander,1,1.818,,3.093,
race_ethnicity,Black/African American,Hispanic/Latino,1,1.384,,2.071,
race_ethnicity,Black/African American,Two or more races/Other,1,0.305,,0.749,
race_ethnicity,Black/African American,White,1,1.108,,1.963,
race_ethnicity,Hispanic/Latino,American Indian/Alaskan Native,1,1.131,,0.967,
race_ethnicity,Hispanic/Latino,Asian/Pacific Islander,1,0.842,,2.215,
race_ethnicity,Hispanic/Latino,Black/African American,1,0.764,,2.584,
race_ethnicity,Hispanic/Latino,Two or more races/Other,1,0.608,,1.025,
race_ethnicity,Hispanic/Latino,White,1,0.095,,0.538,
race_ethnicity,Two or more races/Other,American Indian/Alaskan Native,1,0.051,,0.82,
race_ethnicity,Two or more races/Other,Asian/Pacific Islander,1,0.409,,1.232,
race_ethnicity,Two or more races/Other,Black/African American,1,0.698,,1.327,
race_ethnicity,Two or more races/Other,Hispanic/Latino,1,0.839,,0.701,
race_ethnicity,Two or more races/Other,White,1,0.72,,1.398,
race_ethnicity,White,American Indian/Alaskan Native,1,0.725,,0.396,
race_ethnicity,White,Asian/Pacific Islander,2,1.679,5.638,0.818,0.427
race_ethnicity,White,Black/African American,2,0.616,0.365,1.205,0.026
race_ethnicity,White,Hispanic/Latino,2,1.373,3.772,1.308,3.42
race_ethnicity,White,Two or more races/Other,2,1.39,3.865,2.114,8.942
student_disability_status,Identified as having disability,Not identified as having disability,2,3.795,2.052,4.738,2.824
student_disability_status,Not identified as having disability,Identified as having disability,3,2.613,2.357,2.559,1.871
